frame,d_main_px,z_mm,z_m,alarm
327,64,817.4,0.8174,0
328,62,843.7,0.8437,0
329,61,857.6,0.8576,0
330,59,886.6,0.8866,0
331,57,917.7,0.9177,0
332,56,934.1,0.9341,0
333,55,951.1,0.9511,0
334,53,987.0,0.987,0
335,52,1006.0,1.006,0
336,51,1025.7,1.0257,0
337,50,1046.2,1.0462,0
338,49,1067.6,1.0676,0
339,47,1113.0,1.113,0
340,46,1137.2,1.1372,0
341,45,1162.5,1.1625,0
342,44,1188.9,1.1889,0
343,44,1188.9,1.1889,0
344,43,1216.5,1.2165,0
345,42,1245.5,1.2455,0
346,41,1275.9,1.2759,0
347,41,1275.9,1.2759,0
348,40,1307.8,1.3078,0
349,39,1341.3,1.3413,0
350,39,1341.3,1.3413,0
351,38,1376.6,1.3766,0
352,37,1413.8,1.4138,0
353,37,1413.8,1.4138,0
354,36,1453.1,1.4531,0
355,36,1453.1,1.4531,0
356,35,1494.6,1.4946,0
357,34,1538.5,1.5385,0
358,34,1538.5,1.5385,0
359,33,1585.2,1.5852,0
360,33,1585.2,1.5852,0
361,32,1634.7,1.6347,0
362,32,1634.7,1.6347,0
363,32,1634.7,1.6347,0
364,31,1687.4,1.6874,0
365,31,1687.4,1.6874,0
366,30,1743.7,1.7437,0
367,30,1743.7,1.7437,0
368,30,1743.7,1.7437,0
369,29,1803.8,1.8038,0
370,29,1803.8,1.8038,0
371,29,1803.8,1.8038,0
372,28,1868.2,1.8682,0
373,28,1868.2,1.8682,0
374,25,2092.4,2.0924,0
375,27,1937.4,1.9374,0
376,27,1937.4,1.9374,0
377,24,2179.6,2.1796,0
378,24,2179.6,2.1796,0
379,23,2274.4,2.2744,0
380,23,2274.4,2.2744,0
381,23,2274.4,2.2744,0
382,23,2274.4,2.2744,0
383,23,2274.4,2.2744,0
384,23,2274.4,2.2744,0
385,23,2274.4,2.2744,0
386,22,2377.8,2.3778,0
387,22,2377.8,2.3778,0
388,22,2377.8,2.3778,0
389,22,2377.8,2.3778,0
