frame,z_center_m,d_chess_px,z_chess_m,W_est_mm,H_est_mm,err_W_mm,err_H_mm
246,1.6347,32,1.6347,103.1,161.0,-21.9,-17.0
247,1.6347,32,1.6347,103.6,163.4,-21.4,-14.6
248,1.5852,33,1.5852,100.7,159.7,-24.3,-18.3
249,1.5852,33,1.5852,101.4,159.5,-23.6,-18.5
250,1.5852,33,1.5852,102.3,162.6,-22.7,-15.4
251,1.5852,33,1.5852,105.7,164.2,-19.3,-13.8
252,1.5385,34,1.5385,103.4,160.9,-21.6,-17.1
253,1.5385,34,1.5385,104.0,161.9,-21.0,-16.1
254,1.4946,35,1.4946,102.1,159.9,-22.9,-18.1
255,1.4946,35,1.4946,103.1,161.9,-21.9,-16.1
256,1.4531,36,1.4531,100.5,160.6,-24.5,-17.4
257,1.4531,36,1.4531,101.9,160.9,-23.1,-17.1
258,1.4138,37,1.4138,100.8,159.2,-24.2,-18.8
259,1.4138,37,1.4138,102.1,161.8,-22.9,-16.2
260,1.3766,38,1.3766,103.4,159.6,-21.6,-18.4
261,1.5385,34,1.5385,116.3,181.4,-8.7,3.4
262,1.3413,39,1.3413,103.8,160.2,-21.2,-17.8
263,1.5385,34,1.5385,117.8,186.2,-7.2,8.2
264,1.3078,40,1.3078,102.4,160.1,-22.6,-17.9
265,1.2759,41,1.2759,100.6,173.4,-24.4,-4.6
266,1.2455,42,1.2455,99.7,172.2,-25.3,-5.8
267,1.4531,36,1.4531,118.1,188.0,-6.9,10.0
268,1.2165,43,1.2165,100.6,161.1,-24.4,-16.9
269,1.4138,37,1.4138,118.5,188.0,-6.5,10.0
270,1.3413,39,1.3413,133.1,182.0,8.1,4.0
271,1.1625,45,1.1625,103.0,173.8,-22.0,-4.2
272,1.1372,46,1.1372,102.2,173.5,-22.8,-4.5
273,1.113,47,1.113,128.7,185.8,3.7,7.8
274,1.0898,48,1.0898,128.7,184.0,3.7,6.0
275,1.0676,49,1.0676,129.5,185.0,4.5,7.0
276,1.0462,50,1.0462,129.7,184.7,4.7,6.7
277,1.0257,51,1.0257,129.4,184.8,4.4,6.8
278,1.006,52,1.006,130.5,185.7,5.5,7.7
279,0.9687,54,0.9687,128.3,183.4,3.3,5.4
280,0.9511,55,0.9511,103.6,185.8,-21.4,7.8
281,0.9341,56,0.9341,129.6,185.7,4.6,7.7
282,0.9019,58,0.9019,128.3,183.1,3.3,5.1
283,0.8866,59,0.8866,129.5,184.3,4.5,6.3
284,0.8576,61,0.8576,128.1,182.8,3.1,4.8
285,0.8303,63,0.8303,127.7,182.3,2.7,4.3
286,0.8174,64,0.8174,129.2,184.4,4.2,6.4
287,0.7926,66,0.7926,128.5,182.7,3.5,4.7
288,0.7693,68,0.7693,128.7,181.9,3.7,3.9
289,0.7473,70,0.7473,128.1,181.2,3.1,3.2
290,0.7265,72,0.7265,128.3,181.3,3.3,3.3
291,0.7069,74,0.7069,127.7,181.0,2.7,3.0
292,0.6883,76,0.6883,127.7,181.1,2.7,3.1
293,0.6622,79,0.6622,126.7,179.0,1.7,1.0
294,0.6458,81,0.6458,126.6,179.3,1.6,1.3
295,0.6302,83,0.6302,127.5,180.2,2.5,2.2
296,0.6083,86,0.6083,126.6,179.3,1.6,1.3
297,0.5878,89,0.5878,125.5,176.9,0.5,-1.1
298,0.5748,91,0.5748,126.4,177.7,1.4,-0.3
299,0.5565,94,0.5565,125.6,175.8,0.6,-2.2
300,0.5449,96,0.5449,126.1,176.3,1.1,-1.7
301,0.5393,97,0.5393,127.8,178.5,2.8,0.5
302,0.5179,101,0.5179,125.6,175.6,0.6,-2.4
303,0.503,104,0.503,124.6,174.2,-0.4,-3.8
304,0.4935,106,0.4935,125.0,174.6,-0.0,-3.4
305,0.4935,106,0.4935,127.4,177.6,2.4,-0.4
306,0.4756,110,0.4756,125.0,173.7,-0.0,-4.3
307,0.4756,110,0.4756,126.9,176.0,1.9,-2.0
308,0.4713,111,0.4713,127.2,176.1,2.2,-1.9
309,0.4671,112,0.4671,126.5,174.9,1.5,-3.1
310,0.4671,112,0.4671,126.7,174.3,1.7,-3.7
311,0.4713,111,0.4713,126.4,173.7,1.4,-4.3
312,0.4799,109,0.4799,126.3,173.8,1.3,-4.2
313,0.4935,106,0.4935,126.5,174.4,1.5,-3.6
314,0.5079,103,0.5079,126.7,174.6,1.7,-3.4
315,0.5284,99,0.5284,127.5,175.5,2.5,-2.5
316,0.5449,96,0.5449,126.9,174.8,1.9,-3.2
317,0.5686,92,0.5686,127.2,176.4,2.2,-1.6
318,0.5878,89,0.5878,126.7,175.4,1.7,-2.6
319,0.6083,86,0.6083,126.2,175.7,1.2,-2.3
320,0.6302,83,0.6302,126.3,176.6,1.3,-1.4
